Date,DJIA
1997-01-10,6703.790039
1997-01-13,6709.180176
1997-01-14,6762.290039
1997-01-15,6726.879883
1997-01-16,6765.370117
1997-01-17,6833.100098
1997-01-20,6843.870117
1997-01-21,6883.899902
1997-01-22,6850.029785
1997-01-23,6755.75
1997-01-24,6696.47998
1997-01-27,6660.689941
1997-01-28,6656.080078
1997-01-29,6740.740234
1997-01-30,6823.859863
1997-01-31,6813.089844
1997-02-03,6806.160156
1997-02-04,6833.47998
1997-02-05,6746.899902
1997-02-06,6773.060059
1997-02-07,6855.799805
1997-02-10,6806.540039
1997-02-11,6858.109863
1997-02-12,6961.629883
1997-02-13,7022.439941
1997-02-14,6988.959961
1997-02-18,7067.459961
1997-02-19,7020.129883
1997-02-20,6927.379883
1997-02-21,6931.620117
1997-02-24,7008.200195
1997-02-25,7037.830078
1997-02-26,6983.180176
1997-02-27,6925.069824
1997-02-28,6877.740234
1997-03-03,6918.919922
1997-03-04,6852.720215
1997-03-05,6945.850098
1997-03-06,6944.700195
1997-03-07,7000.890137
1997-03-10,7079.390137
1997-03-11,7085.160156
1997-03-12,7039.370117
1997-03-13,6878.890137
1997-03-14,6935.459961
1997-03-17,6955.47998
1997-03-18,6896.560059
1997-03-19,6877.680176
1997-03-20,6820.279785
1997-03-21,6804.790039
1997-03-24,6905.25
1997-03-25,6876.169922
1997-03-26,6880.700195
1997-03-27,6740.589844
1997-03-31,6583.47998
1997-04-01,6611.049805
1997-04-02,6517
1997-04-03,6477.399902
1997-04-04,6526.100098
1997-04-07,6555.899902
1997-04-08,6609.200195
1997-04-09,6563.799805
1997-04-10,6540.049805
1997-04-11,6391.700195
1997-04-14,6451.899902
1997-04-15,6587.160156
1997-04-16,6679.870117
1997-04-17,6658.600098
1997-04-18,6703.350098
1997-04-21,6660.200195
1997-04-22,6833.600098
1997-04-23,6812.700195
1997-04-24,6792.299805
1997-04-25,6738.899902
1997-04-28,6783
1997-04-29,6962
1997-04-30,7009
1997-05-01,6976.5
1997-05-02,7071.200195
1997-05-05,7213.680176
1997-05-06,7225.299805
1997-05-07,7085.649902
1997-05-08,7136.600098
1997-05-09,7169.5
1997-05-12,7292.799805
1997-05-13,7274.200195
1997-05-14,7286.200195
1997-05-15,7333.5
1997-05-16,7194.700195
1997-05-19,7228.899902
1997-05-20,7303.5
1997-05-21,7290.700195
1997-05-22,7258.100098
1997-05-23,7345.899902
1997-05-27,7383.399902
1997-05-28,7357.200195
1997-05-29,7330.200195
1997-05-30,7331
1997-06-02,7289.399902
1997-06-03,7312.100098
1997-06-04,7269.700195
1997-06-05,7305.299805
1997-06-06,7435.799805
1997-06-09,7478.5
1997-06-10,7539.27002
1997-06-11,7575.799805
1997-06-12,7711.5
1997-06-13,7782
1997-06-16,7772.100098
1997-06-17,7760.799805
1997-06-18,7718.700195
1997-06-19,7777.100098
1997-06-20,7796.5
1997-06-23,7604.299805
1997-06-24,7758.060059
1997-06-25,7690
1997-06-26,7654.299805
1997-06-27,7687.700195
1997-06-30,7672.799805
1997-07-01,7722.299805
1997-07-02,7795.379883
1997-07-03,7895.799805
1997-07-07,7858.5
1997-07-08,7962.299805
1997-07-09,7842.399902
